Movie Name,Storyline
149. The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.
150. King Ivory,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life."
151. Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
152. 2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
153. Four Letters of Love,"Based on Niall Williams' best-selling novel. Nicholas and Isabel were made for each other but how will they ever know it? As ghosts, fate and the sheer power of true love pull them together, so too does life threaten to tear them apart."
154. Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
155. Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man."
156. K-Pops!,"Follows a washed-up musician who jumps at the chance to capitalize on his long-lost son's stardom for his own renaissance, but learns that fatherhood is much more than stardom."
157. The Surfer,"A man returns to the idyllic beach of his childhood to surf with his son. When he is humiliated by a group of locals, the man is drawn into a conflict that keeps rising and pushes him to his breaking point."
158. Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere."
159. The Unholy Trinity,Buried secrets of an 1870s Montana town spark violence when a young man returns to reclaim his legacy and is caught between a sheriff determined to maintain order and a mysterious stranger hell-bent on destroying it.
160. Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
161. Nickel Boys,A powerful friendship develops between two young Black men as they navigate the harrowing trials of reform school together.
162. 40 Acres,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources."
163. Long Distance,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
164. Ghost Train,A YouTuber with the lowest number of views meets the station master of a mysterious subway station to find the source of a true horror story and encounters several strange stories.
165. Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
166. The Girl with the Needle,"Copenhagen 1919: A young worker finds herself unemployed and pregnant. She meets Dagmar, who runs an underground adoption agency. A strong connection grows but her world shatters when she stumbles on the shocking truth behind her work."
167. Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
168. Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.
169. Love Me Dead,"Reclusive mortician Issac forms bond with waitress Cassi. After harrowing incident, they embark on a path of revenge, blurring lines between reality and fiction in this psychological thriller's tense narrative."
170. Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity."
171. My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
172. The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.
173. A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
174. Lift,A female master thief and her ex-boyfriend who works for the FBI team up to steal $100M worth of gold bullion being transported on a 777 passenger flight from London to Zurich.
175. The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
176. Mothers' Instinct,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond."
177. Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
178. Nr. 24,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero."
179. Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
180. Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
181. William Tell,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe's nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral nation."
182. Billy Preston: That's the Way God Planned It,Follows the story and challenging life of legendary musician and genius keyboardist Billy Preston.
183. Role Play,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
184. The Hunted,"After their boat engine fails in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle becomes a nightmare when the saviours turn into ruthless manhunters."
185. Bob Trevino Likes It,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life."
186. How to Make a Killing,"After a fatal car crash, Michel flees the scene. His passenger commits suicide. Michel and wife Cathy find EUR2M in a bag while covering up the incident, leading to a series of chaotic events."
187. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
188. The Room Next Door,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation."
189. Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
190. Look Back,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together."
191. The Seed of the Sacred Fig,"An investigating judge struggles with paranoia amid political unrest in Tehran caused by the death of a young woman. When his gun goes missing, he suspects his wife and daughters, imposing harsh measures that fray family ties."
192. No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
193. Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
194. My Spy: The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy."
195. 2B Honest,"Murder, love, insurance policies. On the run from the law, Kato Roberts stumbles into a secret community that throws him into a world of chaos."
196. El 47,"Inspired on the true story of Manolo Vital, a bus driver who helped create the modern Barcelona during the 1970s city's boom."
197. Hunting Matthew Nichols,"Two decades after her brother mysteriously disappeared on Vancouver Island, a documentary filmmaker sets out to solve his missing person's case. When a disturbing piece of evidence is revealed, she comes to believe he might still be alive."
198. The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up."
199. Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
200. Secret Mall Apartment,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved."
201. In a Violent Nature,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it."
202. The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate."
203. How to Make Millions Before Grandma Dies,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money."
204. Souleymane's Story,A Paris food delivery cyclist and asylum seeker named Souleymane has two days to prepare his story for a make-or-break interview to secure legal residency.
205. The Wonderful Story of Henry Sugar and Three More,Four tales unfold in writer-director Wes Anderson's anthology of short films adapted from Roald Dahl's beloved stories.
206. Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
207. A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
208. The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."
209. Riff Raff,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.
210. Night Swim,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool."
211. Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
212. Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy."
213. Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
214. The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
215. Misgivings,"A suburban woman's solo road trip reveals shocking truths about her life and husband, with authentic storytelling and immersive character development in 'Misgivings'."
216. Paul Anka: His Way,"Born in Ottawa to immigrants, Anka exhibited early musical talent. At 16, he ambitiously headed to New York . Unlike other teen idols, he wrote his own songs. His multi-genre, multi-decade success resonates across generations."
217. Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
218. Sketch,"When a young girl's sketchbook falls into a strange pond, her drawings come to life-chaotic, real and on the loose. As the town descends into chaos, her family must reunite and stop the monsters they never meant to unleash."
219. Dreams,"Johanne documents her intense crush on her french teacher. Her mother, grandmother end up reading these intimate writings. They're both horrified by the contents but taken by the powerful writing and story. Johanne navigates romantic ideals vs reality, exploring emotions of self-discovery, love, sexuality."
220. The Rule of Jenny Pen,"Confined to a secluded rest home and trapped within his stroke-ridden body, a former Judge must stop an elderly psychopath who employs a child's puppet to abuse the home's residents with deadly consequences."
221. Mahavatar Narsimha,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.
222. The First Omen,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
223. The Thinking Game,"Chronicles visionary scientist Demis Hassabis' relentless pursuit to crack artificial general intelligence, a journey of extraordinary perseverance."
224. Young Woman and the Sea,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel."
225. The Killer,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision."
226. Time Cut,High school student accidentally travels back to 2003 and decides to stop the serial killer who murdered her sister.
227. Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate."
228. U Are the Universe,"After Earth explodes, Ukrainian space trucker Andriy Melnyk becomes the last person in the universe until he receives a call from Catherine, a French woman on a distant space station. Despite the obstacles, Andriy decides to find her."
229. Hide N Seek,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
230. Barron's Cove,"After his son is killed, a father abducts the child responsible, hellbent on revenge."
231. Rebel Moon - Part Two: The Scargiver,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
232. The Exorcism,A troubled actor begins to exhibit a disruptive behavior while shooting a horror film. His estranged daughter wonders if he's slipping back into his past addictions or if there's something more sinister at play.
233. All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
234. Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
235. Lisa Frankenstein,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
236. Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
237. Culpa tuya,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
238. Saali Mohabbat,"A housewife gets entangled in a tale of infidelity, deceit, and murder."
239. Rich Flu,Explores how far people would go to save themselves when the wealth that made the world go round then becomes its most dangerous commodity after a strange disease threatens to kill anyone with any sort of fortune.
240. Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival."
241. The Day the Earth Blew Up: A Looney Tunes Movie,Porky Pig and Daffy Duck are Earth's only hope when facing the threat of alien invasion.
242. Unstoppable,"Centers around the life of wrestler Anthony Robles, who was born with one leg and won a national championship in 2011 while competing at Arizona State University."
243. Y2K,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.
244. The Beldham,"A struggling new mother fights a generations-old presence lurking within her family home, threatening her safety, her sanity, and the life of her infant child."
245. Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
246. Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame."
247. Dirty Angels,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.
248. Bramayugam,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny."
249. Bob Marley: One Love,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
250. Canary Black,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.
251. One Fast Move,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created."
252. Turtles All the Way Down,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.
253. F*** Marry Kill,"As a serial killer targets women on dating apps, a true-crime junkie must figure out which of her three dates is a f-boy, marriage material, or is trying to kill her."
254. Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot."
255. MadS,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn."
256. Girls Will Be Girls,"At a strict boarding school nestled in the Himalayan foothills, 18-year-old Mira first discovers desire and romance. However, her curious, rebellious, coming-of-age is disrupted by her young mother, who never got to come of age herself."
257. Killer Heat,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective."
258. Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
259. The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud."
260. Unfrosted,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
261. Witchboard,"A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception"
262. Sew Torn,"A seamstress gets tangled in her own thread after stealing a briefcase from a drug deal gone bad. In an escalating game of cat and mouse, her different choices lead to drastically different outcomes along the way."
263. The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village."
264. Hard Truths,Ongoing exploration of the contemporary world with a tragicomic study of human strengths and weaknesses.
265. Bring Them Down,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland."
266. We Were Dangerous,"Nellie, Daisy and Lou attend an institution for delinquent girls on an isolated island in 1954. The trio rail against the system, finding strength in their friendship but this is challenged when the school's matron divides them."
267. Uma Musume: Pretty Derby - Beginning of a New Era,"Uma Musume - they were born to run. Born with names from other worlds, sometimes with strange, sometimes with glorious histories, they inherit the souls of these names and run. Aiming only at the goal beyond our eyes."
268. Kalki 2898 AD,A pregnant woman comes under the protection of an immortal warrior while being tracked down by bounty hunters.
269. He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.
270. The Forge,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions."
271. Wallace & Gromit: Vengeance Most Fowl,Top dog Gromit springs into action to save his master when Wallace's high-tech invention goes rogue and he is framed for a series of suspicious crimes.
272. Queen of the Ring,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates a peculiar American niche entertainment industry & becomes the first millionaire female athlete."
273. Cloud,"Yoshii, a young man who resells goods online, finds himself at the center of a series of mysterious events that put his life at risk."
274. Suncoast,"While caring for her brother along with her audacious mother, a teenager strikes up a friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time."
275. Dear Santa,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays."
276. Dìdi,"In 2008, during the last month of summer before high school begins, an impressionable 13-year-old Taiwanese American boy learns what his family can't teach him: how to skate, how to flirt, and how to love your mom."
277. Harvest,"Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears."
278. The End,"In a luxurious bunker, a family maintains their pre-apocalyptic routines 25 years after Earth's ecological disaster made the surface uninhabitable."
279. Blade of Fury,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back."
280. Trigger Warning,"A special forces commando returns to her hometown after her father's sudden death, only to run afoul of a violent gang when she starts asking questions."
281. Lucky Baskhar,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.
282. 18×2 Beyond Youthful Days,"Jimmy grows close to Ami, a Japanese backpacker, during one summer, then she leaves suddenly. Years later, a postcard draws him to Japan to face his first love and reflect on who he has become."
283. Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four days together over the course of a year that will change their lives forever."
284. Apocalypse Z: The Beginning of the End,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions."
285. Kishkindha Kaandam,"Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances."
286. Spellbound,"Ellian is a tenacious princess who must go on a daring quest to save her family and kingdom after a mysterious spell transforms her parents, the King and Queen of Lumbria, into monsters."
287. Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining."
288. Drive Back,A couple returning from their engagement party must escape a sinister and seemingly endless road.
289. Reagan,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office."
290. Kali,"Lisa, aka Kali, who has nothing left to lose when she finds out her husband has been executed in Rio to cover up a corruption scandal. A former Special Forces recruit, she heads to Brazil with fists, blood and explosives, to Know the truth"
291. Joy,"3 trailblazers: a young nurse, a visionary scientist and an innovative surgeon face opposition from the church, state, media, and medical establishment in their pursuit of the world's first 'test tube baby,' Louise Joy Brown."
292. Pushpa: The Rule - Part 2,"As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new."
293. Intercepted,Destruction in Ukraine war shown through lengthy tableaux. Soldiers' phone calls to families reveal parallel world. Sound and image confront one another.
294. A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
295. Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark."
296. Players,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
297. Armand,"Armand, a 6-year-old boy, is accused of crossing boundaries against his best friend at elementary school."
298. The Platform 2,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity."
299. The Fix,"In a future with toxic air, a model takes a drug causing a transformation. She tries reversing it but learns her mutations could save humanity."
300. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,"A writer in a creative crisis befriends a retired serial killer, who becomes his marriage therapist and consultant for a new book. But his wife begins to suspect she might be a target."
